molecule,ref_name,t_exp,est_Hvap,H_method,expt_Hvap,apd_Hvap,mapd_Hvap
DEC,Caleman et al. (GAFF),273.1,,skipped,389.66,,
DEC,Caleman et al. (GAFF),273.3,,skipped,389.49,,
DEC,Caleman et al. (GAFF),293.2,,skipped,378.31,,
DEC,Caleman et al. (GAFF),298.1,,skipped,375.48,,
DEC,Caleman et al. (GAFF),298.2,,skipped,375.43,,
DEC,Caleman et al. (GAFF),310.9,,skipped,368.24,,
DEC,Caleman et al. (GAFF),313.3,,skipped,366.88,,
DEC,Caleman et al. (GAFF),315.2,,skipped,365.87,,
DEC,Caleman et al. (OPLS/AA),273.1,,skipped,389.66,,
DEC,Caleman et al. (OPLS/AA),273.3,,skipped,389.49,,
DEC,Caleman et al. (OPLS/AA),293.2,,skipped,378.31,,
DEC,Caleman et al. (OPLS/AA),298.1,,skipped,375.48,,
DEC,Caleman et al. (OPLS/AA),298.2,,skipped,375.43,,
DEC,Caleman et al. (OPLS/AA),310.9,,skipped,368.24,,
DEC,Caleman et al. (OPLS/AA),313.3,,skipped,366.88,,
DEC,Caleman et al. (OPLS/AA),315.2,,skipped,365.87,,
DEC,Garcia-Melgarejo et al.,273.1,,skipped,389.66,,
DEC,Garcia-Melgarejo et al.,273.3,,skipped,389.49,,
DEC,Garcia-Melgarejo et al.,293.2,,skipped,378.31,,
DEC,Garcia-Melgarejo et al.,298.1,,skipped,375.48,,
DEC,Garcia-Melgarejo et al.,298.2,,skipped,375.43,,
DEC,Garcia-Melgarejo et al.,310.9,,skipped,368.24,,
DEC,Garcia-Melgarejo et al.,313.3,,skipped,366.88,,
DEC,Garcia-Melgarejo et al.,315.2,,skipped,365.87,,
DEC,Luo et al.,273.1,,skipped,389.66,,
DEC,Luo et al.,273.3,,skipped,389.49,,
DEC,Luo et al.,293.2,,skipped,378.31,,
DEC,Luo et al.,298.1,,skipped,375.48,,
DEC,Luo et al.,298.2,,skipped,375.43,,
DEC,Luo et al.,310.9,,skipped,368.24,,
DEC,Luo et al.,313.3,,skipped,366.88,,
DEC,Luo et al.,315.2,,skipped,365.87,,
DMF,Caleman et al. (GAFF),298.15,719.2502394,direct,641.538,12.113427326206716,12.113427326206716
DMF,Caleman et al. (OPLS/AA),298.15,630.4556027,direct,641.538,1.7274732439855511,1.7274732439855511
DMF,Chalaris & Samios,298.15,,skipped,641.538,,
DMF,Vahid & Maginn,298.15,,skipped,641.538,,
DMSO,Borin & Skaf,308.0,,skipped,669.397,,
DMSO,Borin & Skaf,318.0,,skipped,666.837,,
DMSO,Borin & Skaf,320.0,,skipped,661.718,,
DMSO,Borin & Skaf,340.0,,skipped,647.639,,
DMSO,Borin & Skaf,368.0,,skipped,615.641,,
DMSO,Caleman et al. (CGenFF),308.0,,skipped,669.397,,
DMSO,Caleman et al. (CGenFF),318.0,,skipped,666.837,,
DMSO,Caleman et al. (CGenFF),320.0,,skipped,661.718,,
DMSO,Caleman et al. (CGenFF),340.0,,skipped,647.639,,
DMSO,Caleman et al. (CGenFF),368.0,,skipped,615.641,,
DMSO,Caleman et al. (GAFF),308.0,,skipped,669.397,,
DMSO,Caleman et al. (GAFF),318.0,,skipped,666.837,,
DMSO,Caleman et al. (GAFF),320.0,,skipped,661.718,,
DMSO,Caleman et al. (GAFF),340.0,,skipped,647.639,,
DMSO,Caleman et al. (GAFF),368.0,,skipped,615.641,,
DMSO,Caleman et al. (OPLS/AA),308.0,,skipped,669.397,,
DMSO,Caleman et al. (OPLS/AA),318.0,,skipped,666.837,,
DMSO,Caleman et al. (OPLS/AA),320.0,,skipped,661.718,,
DMSO,Caleman et al. (OPLS/AA),340.0,,skipped,647.639,,
DMSO,Caleman et al. (OPLS/AA),368.0,,skipped,615.641,,
DMSO,Senapati,308.0,,skipped,669.397,,
DMSO,Senapati,318.0,,skipped,666.837,,
DMSO,Senapati,320.0,,skipped,661.718,,
DMSO,Senapati,340.0,,skipped,647.639,,
DMSO,Senapati,368.0,,skipped,615.641,,
DMSO,Vahid & Maginn,308.0,,skipped,669.397,,68.95445409431564
DMSO,Vahid & Maginn,318.0,,skipped,666.837,,68.95445409431564
DMSO,Vahid & Maginn,320.0,,skipped,661.718,,68.95445409431564
DMSO,Vahid & Maginn,340.0,,skipped,647.639,,68.95445409431564
DMSO,Vahid & Maginn,368.0,1040.1528907307857,estimated,615.641,68.95445409431564,68.95445409431564
EG,Huang et al.,378.15,994.2623152195929,estimated,977.45,1.7200179261949815,3.1848173295757682
EG,Huang et al.,383.15,994.2623152195929,estimated,972.15,2.27457853413495,3.1848173295757682
EG,Huang et al.,393.15,994.2623152195929,estimated,961.57,3.3998892664697156,3.1848173295757682
EG,Huang et al.,403.15,946.4364004670865,estimated,951.01,0.4809202356351118,3.1848173295757682
EG,Huang et al.,413.15,946.4364004670865,estimated,940.46,0.6354763059658547,3.1848173295757682
EG,Huang et al.,450.0,985.564685,direct,901.26,9.354091494130447,3.1848173295757682
EG,Huang et al.,500.0,905.7999033,direct,845.255,7.162915723657356,3.1848173295757682
EG,Huang et al.,550.0,807.0404382,direct,781.37,3.285311465758864,3.1848173295757682
EG,Huang et al.,600.0,699.9194458,direct,701.38,0.20824006957712607,3.1848173295757682
EG,Huang et al.,650.0,568.9705172,direct,588.55,3.3267322742332746,3.1848173295757682
EG,Huang et al.,700.0,,skipped,376.95,,3.1848173295757682
EG,Stubbs et al.,378.15,,skipped,977.45,,7.954193863196815
EG,Stubbs et al.,383.15,,skipped,972.15,,7.954193863196815
EG,Stubbs et al.,393.15,,skipped,961.57,,7.954193863196815
EG,Stubbs et al.,403.15,,skipped,951.01,,7.954193863196815
EG,Stubbs et al.,413.15,,skipped,940.46,,7.954193863196815
EG,Stubbs et al.,450.0,,skipped,901.26,,7.954193863196815
