frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K
0,0.0,133,8.481233564294918e-19,307.91641426484335
1,10.0,136,7.63358156693878e-19,271.0284618682519
2,20.0,97,4.878752102649578e-19,242.86362635435498
3,30.0,101,6.792539840106414e-19,324.7403682568797
4,40.0,108,6.738781153262314e-19,301.28884695755823
5,50.0,100,5.845778822655635e-19,282.2720243719021
6,60.0,112,7.051758050309059e-19,304.0218788371171
7,70.0,106,6.002049242876598e-19,273.41299183632026
8,80.0,130,7.29635922447003e-19,271.01187044755045
9,90.0,121,7.882453935757015e-19,314.55857548612056
10,100.0,141,8.788482856380265e-19,300.96795370914674
11,110.0,143,8.549047360267431e-19,288.6736502128015
12,120.0,151,9.585745004770501e-19,306.5309865069742
13,130.0,146,9.339717669614017e-19,308.8917794938419
14,140.0,145,9.182127058583707e-19,305.77414050507645
15,150.0,122,7.543107369082671e-19,298.5492036808154
16,160.0,106,7.054661740006826e-19,321.36293700317174
17,170.0,112,6.849843732309496e-19,295.31676305118174
18,180.0,101,6.233692005770928e-19,298.0227551410732
19,190.0,122,8.192806506330692e-19,324.2636938195258
20,200.0,140,9.469984218931425e-19,326.62293564325546
21,210.0,136,8.366719332768701e-19,297.0583404079651
22,220.0,116,8.026750510886958e-19,334.1236625859919
23,230.0,139,7.998860721335575e-19,277.8681648275461
24,240.0,97,6.154413167520069e-19,306.36586333935196
25,250.0,103,6.699893048608553e-19,314.0914421468775
26,260.0,131,8.084101089364731e-19,297.9791645748344
27,270.0,143,8.870349551466278e-19,299.5229849335114
28,280.0,103,6.390476438980585e-19,299.58597042708203
29,290.0,113,7.205559905351199e-19,307.9035867021719
30,300.0,103,6.896217650438869e-19,323.29515284351334
31,310.0,110,6.856668721201708e-19,300.985753854043
32,320.0,132,7.580353095155319e-19,277.29431297667634
33,330.0,132,7.922626152567493e-19,289.8148870336016
34,340.0,132,8.646738519850445e-19,316.30339474335074
35,350.0,129,8.074134899015327e-19,302.22594840360193
36,360.0,149,1.015542569594565e-18,329.1071538862126
37,370.0,122,7.148322569615041e-19,282.92398694461446
