,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature
0,0.505022498582828,0.986036690403931,0.0,0.18005519926159053,0.3689234565088219,0.4341989398307108,0.0,0.494780289960193,0.5
1,0.8181367269331157,0.21498658346702948,0.0,0.4636195746338888,0.3646035945634071,0.6584220442823201,0.0,0.03138007182093475,0.75
2,0.4521860406466856,0.41720945653575203,0.0,0.019801972109556726,0.7027359017847179,0.7668446354391999,0.0,0.004629194510912956,0.5
3,0.3661544450490666,0.1746619823736297,0.0,0.9748372083667738,0.40343094646801453,0.8784388466291249,0.0,0.257724912584238,0.75
4,0.2440727275542819,0.13316029830657589,0.0,0.29198893992360186,0.7908881900934782,0.9453173168682907,0.0,0.1671515502772614,0.5
5,0.9261604464941072,0.14770966567136706,0.0,0.2172705551170977,0.9339932961642026,0.4234171923755996,0.0,0.9761474300923264,1.0
6,0.2643214274750826,0.07430981055970529,0.0,0.7335833429732088,0.20019145362560284,0.8448710435370227,0.0,0.9091747608031142,0.5
7,0.8147786312285997,0.9233379029301768,0.0,0.10765233646555337,0.48039204786357204,0.1196491337917485,0.0,0.327564853592593,0.0
8,0.31746113881849825,0.5956433031165356,0.0,0.377009079663964,0.2847037417882725,0.06306184099444631,0.0,0.21924900135464778,0.75
9,0.04910296986216423,0.7282696928044377,0.0,0.9571333364119443,0.7382996596628958,0.46864237690095606,0.0,0.04777760895176442,1.0
10,0.44792569774145324,0.7933915123046463,0.0,0.05091556415586119,0.6298932003004406,0.059483022697741715,0.0,0.9323301745238574,0.25
11,0.14487401564599114,0.9831390736371739,0.0,0.2843855394889748,0.4501642588230131,0.17171119634980742,0.0,0.5573812994604477,0.5
12,0.9685353004875107,0.5912113469842384,0.0,0.6262978566959486,0.8331086919315035,0.821375394905348,0.0,0.42306255553948663,0.75
13,0.34568502285562064,0.3657914894855002,0.0,0.6045047806704034,0.016362679163730295,0.5743154334106721,0.0,0.4550213202126376,0.0
14,0.9707299546432906,0.8297464517701697,0.0,0.008409984010688543,0.3294364150413856,0.13686694090335932,0.0,0.018431392639988744,0.25
15,0.13156298945368114,0.3230380629041861,0.0,0.07266634356290866,0.132934400053232,0.0931717339172522,0.0,0.5835940892052577,0.75
16,0.10094206298626619,0.29670986959194146,0.0,0.2640437365995756,0.577128026258711,0.939801567907705,0.0,0.3651996454148692,1.0
17,0.005561661225348264,0.1435066410226362,0.0,0.30570922237443415,0.3460081904626082,0.1506874948558108,0.0,0.5607885356517992,0.25
18,0.603789498288754,0.2292576667213242,0.0,0.13853369343843763,0.1558152924026793,0.3257605292282114,0.0,0.7319042895758927,0.0
19,0.49937516160863105,0.3642413964894964,0.0,0.7958298676441338,0.0768812370243332,0.19635084936050257,0.0,0.713949715318021,0.25
20,0.7019529758613778,0.03245520343817791,0.0,0.1110684224878382,0.22467037808929782,0.4401742442913152,0.0,0.008485157037753195,0.5
21,0.47004787237918944,0.9721041818548609,0.0,0.3574437227581444,0.962479477485043,0.8678230607909332,0.0,0.15025613984633085,0.5
22,0.599767971424511,0.3888167255912611,0.0,0.16938389749402777,0.4923338814603787,0.08974975794132202,0.0,0.2941421827106184,0.75
23,0.5031034018787371,0.1137361272480784,0.0,0.7267137804336464,0.2494945051607267,0.6530970761824973,0.0,0.021687768891928666,0.5
24,0.4322327049703935,0.8709647712653681,0.0,0.05689807283130275,0.6109054167964053,0.9166095418199351,0.0,0.9229693563813143,0.75
25,0.11542182282449633,0.29476673881023063,0.0,0.4948989221332191,0.08873615661023773,0.22875715113395506,0.0,0.982164720908073,1.0
26,0.10563281275427149,0.6991031436815589,0.0,0.6644340417960897,0.6151020163477584,0.45529204348572044,0.0,0.9151504621320892,0.75
27,0.6451374484031057,0.08491491976494236,0.0,0.569119290460232,0.6677002316650316,0.18738681662427553,0.0,0.9400523158798331,0.5
28,0.5892446886096158,0.9253329030384629,0.0,0.29623511248201106,0.6509473658484137,0.5243161797422872,0.0,0.13592371861002459,1.0
29,0.3743153404873333,0.508392860297992,0.0,0.24255960932073886,0.06538407908779649,0.2967180811703653,0.0,0.9711615443697637,1.0
30,0.9128812378927,0.8129254573713928,0.0,0.30412158827118274,0.9268018629369006,0.6864058026047758,0.0,0.9956340079610401,0.0
31,0.7199705041520831,0.9081391823456929,0.0,0.389405807245755,0.2556508611219042,0.606737474015973,0.0,0.6111091952686402,0.75
32,0.740381449167452,0.6273188629542106,0.0,0.6713955592096018,0.3042685271631289,0.4072321634030592,0.0,0.17480398710505649,1.0
33,0.49265682010020895,0.8376755362572358,0.0,0.7354031418345879,0.6384186509963521,0.1765236436368495,0.0,0.07532287934140904,1.0
34,0.40065573685033956,0.4855167590455628,0.0,0.9635980809715143,0.570304348081271,0.3424800122035208,0.0,0.8197705743447901,1.0
35,0.2726710541851392,0.15392801934451084,0.0,0.8603873611859851,0.693635076501382,0.1071387585461173,0.0,0.47462445730631475,1.0
36,0.07998604747363885,0.4993126457626827,0.0,0.9468770766481224,0.05504681352218501,0.23965269104583567,0.0,0.7710214538998732,0.75
37,0.7212487087615354,0.3582808093749281,0.0,0.8778118930513716,0.9475537640961434,0.1342913861478804,0.0,0.04180088372059165,0.25
38,0.6434667025455556,0.39519324577631765,0.0,0.9318594957256756,0.6618238690805015,0.6140805530174517,0.0,0.6329424158825101,1.0
39,0.6127984326640592,0.25380218019085243,0.0,0.7095164795303412,0.7801608597447559,0.8339249798132207,0.0,0.7934978995926045,1.0
40,0.8746544907097002,0.42752598892846605,0.0,0.6794880052758294,0.4140241223032381,0.22375942836326315,0.0,0.3762756765127134,0.5
41,0.693670675611526,0.9573653139997498,0.0,0.5074191940624453,0.5118573320462542,0.9573189596022936,0.0,0.7610459310061473,0.25
42,0.09101465285623973,0.3926603252357813,0.0,0.20360787193949614,0.5537256520617294,0.8727746184705869,0.0,0.43223251323962747,0.0
43,0.10094206298626619,0.29670986959194146,0.0,0.2640437365995756,0.577128026258711,0.939801567907705,0.0,0.3651996454148692,0.25
44,0.09101465285623973,0.3926603252357813,0.0,0.20360787193949614,0.5537256520617294,0.8727746184705869,0.0,0.43223251323962747,1.0
