molecule,property,canonical_unit,unit_in_esolvs,unit_in_recomputed,conversion_ok,esolvs_value_sample,independent_value,pct_diff,sanity,flag_notes
MeOH,rho_l,kg/m3,kg/m3,kg/m3,Y,784.51,784.506955,0.0,OK,REFPROP block
MeOH,Pvap,kPa (audit convention; esolvs.py native = bar),bar,kPa,Y,18.682,18.682399,0.002,OK,"REFPROP block, bar->kPa"
MeOH,Hvap,kJ/kg,kJ/kg,kJ/kg,Y,1166.17,1166.151521,0.002,OK,REFPROP block
MeOH,gamma,mN/m,mN/m,mN/m,Y,21.993,21.993042,0.0,OK,REFPROP block
EG,rho_l,kg/m3,kg/m3,kg/m3,Y,993.42,993.46613,0.005,OK,REFPROP block
EG,Pvap,kPa (audit convention; esolvs.py native = bar),bar,kPa,Y,53.184,53.183863,0.0,OK,"REFPROP block, bar->kPa"
EG,Hvap,kJ/kg,kJ/kg,kJ/kg,Y,901.26,901.259112,0.0,OK,REFPROP block
EG,gamma,mN/m,mN/m,mN/m,Y,34.062,34.062061,0.0,OK,REFPROP block
Gly,rho_l,kg/m3,kg/m3,kg/m3,Y,1249.5,1248.450961,0.084,OK,doi:10.1016/j.jct.2017.11.008
Gly,Pvap,kPa (audit convention; esolvs.py native = bar),bar,kPa,Y,0.000125,0.000129,2.82,OK,"doi:10.1016/j.jct.2017.11.008 correlation, Pa->kPa"
Gly,Hvap,kJ/kg,kJ/kg,kJ/kg,Y,982.734,927.568144,5.947,OK,doi:10.1016/j.fluid.2015.03.038
Gly,gamma,mN/m,mN/m,mN/m,Y,62.0,59.29365,4.564,OK,doi:10.1016/j.jct.2019.03.014
DMF,rho_l,kg/m3,kg/m3,kg/m3,Y,931.94,925.943206,0.648,OK,doi:10.1016/j.molliq.2019.02.097
DMF,Pvap,kPa (audit convention; esolvs.py native = bar),bar,kPa,Y,1.85,1.726556,7.15,OK,doi:10.1021/je060224i correlation
DMF,Hvap,kJ/kg,kJ/kg,kJ/kg,Y,641.538,641.503918,0.005,OK,doi:10.3390/molecules29051110
DMF,gamma,mN/m,mN/m,mN/m,Y,33.309,33.142556,0.502,OK,doi:10.1021/je0201323 correlation
DMSO,rho_l,kg/m3,kg/m3,kg/m3,Y,1070.21,1071.677823,0.137,OK,doi:10.1016/j.molliq.2016.10.115
DMSO,Pvap,kPa (audit convention; esolvs.py native = bar),bar,kPa,Y,0.405674,0.401808,0.962,OK,"doi:10.1016/0021-9614(72)90007-9 correlation, native kPa"
DMSO,Hvap,kJ/kg,kJ/kg,kJ/kg,Y,661.718,670.040339,1.242,OK,NIST webbook
DMSO,gamma,mN/m,mN/m,mN/m,Y,40.055,40.004843,0.125,OK,doi:10.1021/j100798a501 correlation
DEC,rho_l,kg/m3,kg/m3,kg/m3,Y,952.5,958.396734,0.615,OK,doi:10.1016/j.fluid.2010.03.040
