,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature
0,0.5068548434657676,0.6772052505305247,0.27888691234574436,0.4956245126038537,0.7561963925839759,0.08743533670946728,0.21919490850547918,0.5839208039692525,0.9031035323794333,0.8983443768771516,0.11469471974112518,0.5179681181724047,0.5000003051757801
1,0.8172415001317356,0.721154141490659,0.859673425244249,0.0013607896727785285,0.07992283761524735,0.28520824985502363,0.917656650997508,0.812954645718593,0.7313977767456615,0.9473835056501696,0.7513457557233836,0.6245762105263314,0.7500003051757801
2,0.45492864405157696,0.7968576902606685,0.6710348817095101,0.17743498208588893,0.7813707528972446,0.738867882586514,0.04400739426003661,0.7981843652472483,0.8041029698621643,0.27826969280443753,0.3952593796929458,0.9871333364119445,0.5000003051757801
3,0.36718604064668553,0.762209456535752,0.050339430541455996,0.6448019721095568,0.2027359017847179,0.9818446354392001,0.8072462652436587,0.589629194510913,0.2470338580340717,0.42388901557386377,0.3690222541033157,0.6306065455762616,0.7500003051757801
4,0.2434667025455556,0.010193245776317639,0.03267079982469427,0.9368594957256758,0.5668238690805015,0.0040805530174514715,0.8696906729092182,0.84294241588251,0.9211798495578077,0.8559238910585412,0.7963500537549899,0.44943397523737394,0.5000003051757801
5,0.9262731003515489,0.058179099538380886,0.43956105369929427,0.017287712022505862,0.0018861932031280506,0.8703911144516595,0.04556122627731969,0.8597142542328164,0.6561407980636464,0.4436931859988641,0.47151400810736754,0.008102590158293212,1.0000003051757802
6,0.26040582299521875,0.2042250058726457,0.38569602988242785,0.8214815446442169,0.6764878113439359,0.790797938094615,0.9773166795335597,0.332466159984317,0.1531648506737215,0.9606737490786718,0.8904945089277638,0.7241972760343434,0.5000003051757801
7,0.8112173751042211,0.33417081352115674,0.8054027207424003,0.07701678581321944,0.8383528294356406,0.6903167842167384,0.6442243486403108,0.8924276683115238,0.4995422296339189,0.2351728614545771,0.5921231196909418,0.030981667010999706,3.051757801131316e-07
8,0.31674764904361374,0.9164780850503961,0.17589424368898118,0.8736839036492056,0.6046070263321595,0.04766377124375152,0.6391499693392318,0.2198978404572783,0.8554015785005854,0.7168670708256865,0.1479281763185527,0.3993177745556985,0.7500003051757801
9,0.045746149694860246,0.5512870070763539,0.41082452577037687,0.747109572266652,0.282119952896195,0.1873471127610295,0.02132459170153631,0.09834894732196402,0.5825164699670683,0.48265116094029253,0.7466918136460498,0.45391894619036005,1.0000003051757802
10,0.44946898428089344,0.04448162323588662,0.183254290423935,0.2679642580915311,0.6553814491674519,0.09731886295421059,0.2600468460684249,0.31139555920960177,0.009268527163128893,0.2972321634030592,0.6892031473795487,0.18480398710505644,0.2500003051757801
